clustername	contigname
11740	S5CS18097D-03-06_S0_L001CNODE_17660_length_2549_cov_2.507217
24464	S5CS18097D-03-06_S0_L001CNODE_25251_length_2035_cov_9.493939
24082	S4CS18097D-03-12_S0_L001CNODE_28198_length_2045_cov_2.081407
130	S1CS18097D-03-02_S0_L001CNODE_2053_length_9359_cov_6.999785
17636	S3CS18097D-03-11_S0_L001CNODE_27473_length_2247_cov_6.951642
11498	S3CS18097D-03-11_S0_L001CNODE_21983_length_2568_cov_5.551134
930	S3CS18097D-03-11_S0_L001CNODE_7716_length_4740_cov_45.250587
nneighs_19492	S3CS18097D-03-11_S0_L001CNODE_18048_length_2886_cov_2.909926
nneighs_19492	S5CS18097D-03-06_S0_L001CNODE_6821_length_4572_cov_2.451849
5357	S4CS18097D-03-12_S0_L001CNODE_15973_length_2917_cov_3.184836
17624	S4CS18097D-03-12_S0_L001CNODE_24236_length_2247_cov_2.961679
nneighs_19723	S5CS18097D-03-06_S0_L001CNODE_15904_length_2724_cov_4.417385
nneighs_19723	S3CS18097D-03-11_S0_L001CNODE_20440_length_2682_cov_5.042634
3930	S5CS18097D-03-06_S0_L001CNODE_12507_length_3160_cov_3.153945
4115	S5CS18097D-03-06_S0_L001CNODE_12734_length_3122_cov_3.075970
3575	S4CS18097D-03-12_S0_L001CNODE_13491_length_3241_cov_2.999372
24320	S3CS18097D-03-11_S0_L001CNODE_32295_length_2039_cov_3.494960
4163	S1CS18097D-03-02_S0_L001CNODE_16025_length_3112_cov_3.432450
5458	S4CS18097D-03-12_S0_L001CNODE_16079_length_2904_cov_4.192699
nneighs_7310	S5CS18097D-03-06_S0_L001CNODE_16888_length_2625_cov_6.291829
nneighs_7310	S4CS18097D-03-12_S0_L001CNODE_22184_length_2374_cov_6.150927
nneighs_7310	S1CS18097D-03-02_S0_L001CNODE_13246_length_3489_cov_5.172685
nneighs_7310	S4CS18097D-03-12_S0_L001CNODE_22399_length_2358_cov_5.648285
4097	S1CS18097D-03-02_S0_L001CNODE_15910_length_3126_cov_5.374471
25297	S3CS18097D-03-11_S0_L001CNODE_32975_length_2014_cov_3.349158
nneighs_10537	S5CS18097D-03-06_S0_L001CNODE_22155_length_2214_cov_28.197314
nneighs_10537	S1CS18097D-03-02_S0_L001CNODE_21679_length_2582_cov_53.817175
2418	S5CS18097D-03-06_S0_L001CNODE_19886_length_2364_cov_5.993937
2418	S5CS18097D-03-06_S0_L001CNODE_10130_length_3592_cov_4.759683
2418	S3CS18097D-03-11_S0_L001CNODE_28478_length_2197_cov_13.345938
2418	S3CS18097D-03-11_S0_L001CNODE_15884_length_3120_cov_10.757912
2418	S3CS18097D-03-11_S0_L001CNODE_13275_length_3462_cov_9.418844
16302	S1CS18097D-03-02_S0_L001CNODE_26178_length_2301_cov_52.429653
11224	S5CS18097D-03-06_S0_L001CNODE_17259_length_2588_cov_2.464272
21301	S2CS18097D-03-07_S0_L001CNODE_23478_length_2122_cov_5.685051
nneighs_12147	S3CS18097D-03-11_S0_L001CNODE_32178_length_2042_cov_13.786110
nneighs_12147	S1CS18097D-03-02_S0_L001CNODE_26785_length_2269_cov_6.031617
13627	S4CS18097D-03-12_S0_L001CNODE_21353_length_2434_cov_16.619588
8859	S5CS18097D-03-06_S0_L001CNODE_22588_length_2185_cov_8.713615
8859	S2CS18097D-03-07_S0_L001CNODE_8868_length_3807_cov_20.569829
8859	S3CS18097D-03-11_S0_L001CNODE_18157_length_2876_cov_23.265509
8859	S3CS18097D-03-11_S0_L001CNODE_13505_length_3431_cov_8.688685
8859	S4CS18097D-03-12_S0_L001CNODE_22192_length_2373_cov_15.559103
nneighs_7882	S1CS18097D-03-02_S0_L001CNODE_14597_length_3292_cov_3.496447
nneighs_7882	S4CS18097D-03-12_S0_L001CNODE_2313_length_8760_cov_16.508903
nneighs_7882	S2CS18097D-03-07_S0_L001CNODE_2015_length_8373_cov_8.410676
nneighs_7882	S5CS18097D-03-06_S0_L001CNODE_13988_length_2944_cov_3.822084
nneighs_7882	S3CS18097D-03-11_S0_L001CNODE_22890_length_2502_cov_6.592154
1174	S3CS18097D-03-11_S0_L001CNODE_8785_length_4426_cov_2.710821
18264	S5CS18097D-03-06_S0_L001CNODE_22008_length_2223_cov_3.695111
19095	S3CS18097D-03-11_S0_L001CNODE_28594_length_2192_cov_2.600374
13744	S4CS18097D-03-12_S0_L001CNODE_21453_length_2427_cov_6.122681
2093	S1CS18097D-03-02_S0_L001CNODE_11800_length_3740_cov_3.853460
16695	S4CS18097D-03-12_S0_L001CNODE_23603_length_2283_cov_3.084829
17140	S5CS18097D-03-06_S0_L001CNODE_21315_length_2268_cov_2.862178
17575	S3CS18097D-03-11_S0_L001CNODE_27411_length_2250_cov_3.690661
18651	S1CS18097D-03-02_S0_L001CNODE_28006_length_2209_cov_3.812442
15315	S4CS18097D-03-12_S0_L001CNODE_22623_length_2344_cov_3.022717
nneighs_11004	S3CS18097D-03-11_S0_L001CNODE_30634_length_2103_cov_18.953125
nneighs_11004	S2CS18097D-03-07_S0_L001CNODE_18124_length_2485_cov_14.800412
nneighs_11004	S4CS18097D-03-12_S0_L001CNODE_20652_length_2485_cov_12.852675
nneighs_11004	S1CS18097D-03-02_S0_L001CNODE_23077_length_2485_cov_20.092593
18962	S3CS18097D-03-11_S0_L001CNODE_28480_length_2197_cov_7.972456
2677	S2CS18097D-03-07_S0_L001CNODE_10220_length_3503_cov_7.901682
707	S3CS18097D-03-11_S0_L001CNODE_6588_length_5180_cov_4.313366
8096	S2CS18097D-03-07_S0_L001CNODE_3963_length_5954_cov_5.313952
3906	S1CS18097D-03-02_S0_L001CNODE_15589_length_3167_cov_3.516388
890	S1CS18097D-03-02_S0_L001CNODE_7722_length_4812_cov_3.373345
1576	S5CS18097D-03-06_S0_L001CNODE_8366_length_4049_cov_9.462694
4014	S3CS18097D-03-11_S0_L001CNODE_15710_length_3141_cov_3.906027
1395	S3CS18097D-03-11_S0_L001CNODE_9535_length_4206_cov_8.016382
20821	S1CS18097D-03-02_S0_L001CNODE_29562_length_2137_cov_3.145533
nneighs_19482	S3CS18097D-03-11_S0_L001CNODE_17968_length_2893_cov_4.726568
nneighs_19482	S4CS18097D-03-12_S0_L001CNODE_21337_length_2436_cov_3.099538
15102	S3CS18097D-03-11_S0_L001CNODE_25353_length_2355_cov_2.677391
nneighs_16689	S2CS18097D-03-07_S0_L001CNODE_19773_length_2355_cov_3.813913
nneighs_16689	S4CS18097D-03-12_S0_L001CNODE_24695_length_2220_cov_3.369977
nneighs_16689	S3CS18097D-03-11_S0_L001CNODE_27330_length_2253_cov_4.272975
4637	S1CS18097D-03-02_S0_L001CNODE_16788_length_3026_cov_6.244026
20250	S5CS18097D-03-06_S0_L001CNODE_23083_length_2154_cov_2.076227
6130	S3CS18097D-03-11_S0_L001CNODE_18851_length_2812_cov_4.983678
15400	S1CS18097D-03-02_S0_L001CNODE_25449_length_2340_cov_5.654267
5267	S3CS18097D-03-11_S0_L001CNODE_17607_length_2930_cov_3.718957
520	S1CS18097D-03-02_S0_L001CNODE_5781_length_5633_cov_4.088383
167	S4CS18097D-03-12_S0_L001CNODE_2392_length_8614_cov_4.981073
22681	S1CS18097D-03-02_S0_L001CNODE_30846_length_2082_cov_2.980760
nneighs_13364	S1CS18097D-03-02_S0_L001CNODE_31265_length_2066_cov_1.882148
nneighs_13364	S3CS18097D-03-11_S0_L001CNODE_14066_length_3353_cov_4.188296
nneighs_13364	S4CS18097D-03-12_S0_L001CNODE_27068_length_2100_cov_3.854279
14420	S2CS18097D-03-07_S0_L001CNODE_19309_length_2390_cov_4.034690
1228	S4CS18097D-03-12_S0_L001CNODE_8305_length_4373_cov_4.033349
nneighs_19010	S3CS18097D-03-11_S0_L001CNODE_13437_length_3439_cov_5.842494
nneighs_19010	S5CS18097D-03-06_S0_L001CNODE_7515_length_4313_cov_4.631987
nneighs_11339	S1CS18097D-03-02_S0_L001CNODE_24132_length_2418_cov_3.495980
nneighs_11339	S3CS18097D-03-11_S0_L001CNODE_10155_length_4048_cov_6.360631
nneighs_11339	S4CS18097D-03-12_S0_L001CNODE_16024_length_2911_cov_4.036064
nneighs_11339	S5CS18097D-03-06_S0_L001CNODE_12069_length_3227_cov_3.035624
nneighs_11339	S2CS18097D-03-07_S0_L001CNODE_8954_length_3786_cov_3.955240
1762	S5CS18097D-03-06_S0_L001CNODE_8820_length_3917_cov_4.162610
10694	S3CS18097D-03-11_S0_L001CNODE_21165_length_2629_cov_9.537296
10694	S3CS18097D-03-11_S0_L001CNODE_22755_length_2511_cov_4.523208
3346	S4CS18097D-03-12_S0_L001CNODE_13123_length_3298_cov_3.627197
nneighs_6971	S4CS18097D-03-12_S0_L001CNODE_9304_length_4084_cov_6.190122
nneighs_6971	S1CS18097D-03-02_S0_L001CNODE_12484_length_3616_cov_9.334457
nneighs_6971	S3CS18097D-03-11_S0_L001CNODE_25122_length_2368_cov_4.948552
nneighs_6971	S4CS18097D-03-12_S0_L001CNODE_10335_length_3825_cov_10.235809
nneighs_6971	S5CS18097D-03-06_S0_L001CNODE_23413_length_2133_cov_6.313763
nneighs_6971	S5CS18097D-03-06_S0_L001CNODE_19080_length_2429_cov_5.193345
nneighs_6971	S2CS18097D-03-07_S0_L001CNODE_3402_length_6465_cov_5.736349
nneighs_17479	S4CS18097D-03-12_S0_L001CNODE_18441_length_2665_cov_9.637165
nneighs_17479	S2CS18097D-03-07_S0_L001CNODE_24750_length_2055_cov_4.616500
nneighs_2879	S3CS18097D-03-11_S0_L001CNODE_6717_length_5126_cov_4.001380
nneighs_2879	S2CS18097D-03-07_S0_L001CNODE_11221_length_3308_cov_3.835536
nneighs_2879	S5CS18097D-03-06_S0_L001CNODE_9115_length_3830_cov_3.367152
nneighs_2879	S3CS18097D-03-11_S0_L001CNODE_26778_length_2280_cov_4.097978
nneighs_2879	S1CS18097D-03-02_S0_L001CNODE_4631_length_6297_cov_5.242230
nneighs_2879	S3CS18097D-03-11_S0_L001CNODE_30915_length_2092_cov_4.151694
nneighs_2879	S2CS18097D-03-07_S0_L001CNODE_12721_length_3072_cov_2.751740
nneighs_2879	S4CS18097D-03-12_S0_L001CNODE_27122_length_2096_cov_3.670750
4132	S4CS18097D-03-12_S0_L001CNODE_14320_length_3120_cov_5.195432
5707	S3CS18097D-03-11_S0_L001CNODE_18256_length_2868_cov_5.183790
nneighs_9928	S3CS18097D-03-11_S0_L001CNODE_19965_length_2719_cov_8.475601
nneighs_9928	S1CS18097D-03-02_S0_L001CNODE_19930_length_2719_cov_18.018769
nneighs_9928	S5CS18097D-03-06_S0_L001CNODE_15949_length_2719_cov_7.825075
nneighs_3214	S2CS18097D-03-07_S0_L001CNODE_12254_length_3135_cov_8.439286
nneighs_3214	S1CS18097D-03-02_S0_L001CNODE_5208_length_5937_cov_11.180551
nneighs_3214	S4CS18097D-03-12_S0_L001CNODE_18535_length_2656_cov_9.022684
nneighs_3214	S2CS18097D-03-07_S0_L001CNODE_10985_length_3354_cov_6.846317
18454	S1CS18097D-03-02_S0_L001CNODE_27881_length_2216_cov_2.230449
1354	S3CS18097D-03-11_S0_L001CNODE_9397_length_4248_cov_5.846411
18308	S1CS18097D-03-02_S0_L001CNODE_27771_length_2221_cov_3.291320
17771	S4CS18097D-03-12_S0_L001CNODE_24330_length_2242_cov_5.479652
281	S4CS18097D-03-12_S0_L001CNODE_3628_length_6898_cov_4.061815
11795	S3CS18097D-03-11_S0_L001CNODE_22280_length_2546_cov_4.229627
10343	S5CS18097D-03-06_S0_L001CNODE_25678_length_2014_cov_6.268504
10343	S2CS18097D-03-07_S0_L001CNODE_15427_length_2733_cov_12.462659
10343	S1CS18097D-03-02_S0_L001CNODE_30078_length_2113_cov_38.486880
10343	S5CS18097D-03-06_S0_L001CNODE_20048_length_2353_cov_19.592254
10343	S4CS18097D-03-12_S0_L001CNODE_23043_length_2317_cov_12.073828
10343	S4CS18097D-03-12_S0_L001CNODE_21943_length_2389_cov_19.195373
10343	S1CS18097D-03-02_S0_L001CNODE_32514_length_2014_cov_50.813680
15969	S5CS18097D-03-06_S0_L001CNODE_20583_length_2314_cov_2.560868
nneighs_17656	S3CS18097D-03-11_S0_L001CNODE_10_length_73319_cov_23.675994
nneighs_17656	S5CS18097D-03-06_S0_L001CNODE_4804_length_5593_cov_5.343806
nneighs_17656	S5CS18097D-03-06_S0_L001CNODE_7239_length_4409_cov_5.022508
nneighs_17656	S5CS18097D-03-06_S0_L001CNODE_14_length_56714_cov_6.587656
898	S3CS18097D-03-11_S0_L001CNODE_7539_length_4803_cov_4.236731
nneighs_20504	S4CS18097D-03-12_S0_L001CNODE_20262_length_2513_cov_2.429618
nneighs_20504	S5CS18097D-03-06_S0_L001CNODE_7519_length_4312_cov_4.143058
nneighs_20504	S3CS18097D-03-11_S0_L001CNODE_28707_length_2187_cov_3.883677
1854	S3CS18097D-03-11_S0_L001CNODE_10984_length_3867_cov_2.494753
nneighs_7619	S2CS18097D-03-07_S0_L001CNODE_7825_length_4105_cov_4.420000
nneighs_7619	S1CS18097D-03-02_S0_L001CNODE_13959_length_3380_cov_6.070977
nneighs_7619	S4CS18097D-03-12_S0_L001CNODE_10997_length_3685_cov_4.812121
9281	S4CS18097D-03-12_S0_L001CNODE_12857_length_3343_cov_2.958333
nneighs_4936	S4CS18097D-03-12_S0_L001CNODE_9805_length_3957_cov_16.332137
nneighs_4936	S5CS18097D-03-06_S0_L001CNODE_5026_length_5457_cov_18.127175
nneighs_4936	S3CS18097D-03-11_S0_L001CNODE_8716_length_4443_cov_17.721969
nneighs_4936	S1CS18097D-03-02_S0_L001CNODE_8295_length_4616_cov_25.668932
nneighs_4936	S2CS18097D-03-07_S0_L001CNODE_7620_length_4176_cov_16.121815
5917	S2CS18097D-03-07_S0_L001CNODE_14490_length_2838_cov_5.120374
5917	S4CS18097D-03-12_S0_L001CNODE_22757_length_2334_cov_12.358052
7284	S3CS18097D-03-11_S0_L001CNODE_20365_length_2688_cov_3.924041
21712	S4CS18097D-03-12_S0_L001CNODE_26881_length_2109_cov_2.315482
14043	S3CS18097D-03-11_S0_L001CNODE_24429_length_2408_cov_13.341266
25550	S1CS18097D-03-02_S0_L001CNODE_32698_length_2008_cov_2.818740
25363	S1CS18097D-03-02_S0_L001CNODE_32575_length_2013_cov_2.437181
5201	S2CS18097D-03-07_S0_L001CNODE_13715_length_2939_cov_8.933079
12707	S4CS18097D-03-12_S0_L001CNODE_20636_length_2487_cov_2.409951
11726	S4CS18097D-03-12_S0_L001CNODE_19767_length_2550_cov_7.993186
2710	S4CS18097D-03-12_S0_L001CNODE_11976_length_3489_cov_10.829645
12246	S2CS18097D-03-07_S0_L001CNODE_25396_length_2023_cov_2.580793
12246	S1CS18097D-03-02_S0_L001CNODE_22635_length_2515_cov_2.678049
12246	S1CS18097D-03-02_S0_L001CNODE_24159_length_2417_cov_2.699831
19369	S3CS18097D-03-11_S0_L001CNODE_28792_length_2183_cov_6.008929
nneighs_3607	S1CS18097D-03-02_S0_L001CNODE_5868_length_5598_cov_6.180769
nneighs_3607	S3CS18097D-03-11_S0_L001CNODE_25341_length_2355_cov_11.312609
nneighs_3607	S2CS18097D-03-07_S0_L001CNODE_13662_length_2945_cov_5.948789
nneighs_3607	S4CS18097D-03-12_S0_L001CNODE_9435_length_4050_cov_12.421277
nneighs_3607	S2CS18097D-03-07_S0_L001CNODE_20170_length_2326_cov_6.684280
nneighs_3607	S3CS18097D-03-11_S0_L001CNODE_12811_length_3534_cov_14.062949
nneighs_3607	S5CS18097D-03-06_S0_L001CNODE_8452_length_4024_cov_9.166541
7566	S3CS18097D-03-11_S0_L001CNODE_20751_length_2659_cov_3.891321
1827	S2CS18097D-03-07_S0_L001CNODE_8601_length_3881_cov_5.739415
1973	S4CS18097D-03-12_S0_L001CNODE_10432_length_3803_cov_5.101121
2755	S1CS18097D-03-02_S0_L001CNODE_13348_length_3474_cov_3.956128
14849	S3CS18097D-03-11_S0_L001CNODE_25133_length_2368_cov_2.146563
99	S1CS18097D-03-02_S0_L001CNODE_1387_length_11127_cov_5.488620
20136	S1CS18097D-03-02_S0_L001CNODE_29098_length_2157_cov_14.546147
10769	S1CS18097D-03-02_S0_L001CNODE_21108_length_2623_cov_3.655763
nneighs_20290	S3CS18097D-03-11_S0_L001CNODE_26267_length_2305_cov_2.684889
nneighs_20290	S5CS18097D-03-06_S0_L001CNODE_24942_length_2051_cov_3.578156
nneighs_18946	S5CS18097D-03-06_S0_L001CNODE_13276_length_3038_cov_4.514918
nneighs_18946	S3CS18097D-03-11_S0_L001CNODE_12832_length_3531_cov_7.088320
14438	S3CS18097D-03-11_S0_L001CNODE_24776_length_2388_cov_4.203601
14630	S4CS18097D-03-12_S0_L001CNODE_22116_length_2379_cov_4.100688
22212	S1CS18097D-03-02_S0_L001CNODE_30552_length_2095_cov_2.323529
6944	S1CS18097D-03-02_S0_L001CNODE_19882_length_2723_cov_5.097826
25806	S3CS18097D-03-11_S0_L001CNODE_33336_length_2002_cov_2.013867
21152	S5CS18097D-03-06_S0_L001CNODE_23539_length_2126_cov_4.802028
7977	S3CS18097D-03-11_S0_L001CNODE_4084_length_6678_cov_4.338819
7977	S3CS18097D-03-11_S0_L001CNODE_31793_length_2057_cov_4.636364
7977	S3CS18097D-03-11_S0_L001CNODE_15409_length_3180_cov_4.210240
7977	S3CS18097D-03-11_S0_L001CNODE_6499_length_5218_cov_4.394538
7977	S3CS18097D-03-11_S0_L001CNODE_12972_length_3508_cov_4.145670
7977	S3CS18097D-03-11_S0_L001CNODE_22743_length_2512_cov_4.706553
7977	S3CS18097D-03-11_S0_L001CNODE_3746_length_7006_cov_3.741188
7977	S3CS18097D-03-11_S0_L001CNODE_21336_length_2616_cov_4.036314
7977	S3CS18097D-03-11_S0_L001CNODE_4517_length_6350_cov_3.996664
200	S1CS18097D-03-02_S0_L001CNODE_2892_length_7958_cov_5.245983
1389	S1CS18097D-03-02_S0_L001CNODE_9718_length_4215_cov_8.404087
9080	S4CS18097D-03-12_S0_L001CNODE_13468_length_3244_cov_6.006585
9080	S2CS18097D-03-07_S0_L001CNODE_10252_length_3495_cov_7.027616
9080	S2CS18097D-03-07_S0_L001CNODE_11338_length_3285_cov_6.039628
9080	S4CS18097D-03-12_S0_L001CNODE_28801_length_2018_cov_8.073867
9080	S5CS18097D-03-06_S0_L001CNODE_10297_length_3553_cov_12.961692
9080	S1CS18097D-03-02_S0_L001CNODE_27614_length_2228_cov_3.576622
9080	S2CS18097D-03-07_S0_L001CNODE_23061_length_2147_cov_4.579350
9080	S5CS18097D-03-06_S0_L001CNODE_24118_length_2094_cov_11.526729
9080	S2CS18097D-03-07_S0_L001CNODE_15405_length_2735_cov_7.069403
22114	S1CS18097D-03-02_S0_L001CNODE_30454_length_2098_cov_4.523740
nneighs_9421	S3CS18097D-03-11_S0_L001CNODE_6548_length_5200_cov_7.348299
nneighs_9421	S5CS18097D-03-06_S0_L001CNODE_12163_length_3211_cov_4.324461
nneighs_9421	S1CS18097D-03-02_S0_L001CNODE_18475_length_2853_cov_5.834167
2079	S3CS18097D-03-11_S0_L001CNODE_11565_length_3746_cov_5.628285
nneighs_5997	S4CS18097D-03-12_S0_L001CNODE_26334_length_2135_cov_6.060577
nneighs_5997	S1CS18097D-03-02_S0_L001CNODE_10347_length_4051_cov_6.049800
1875	S3CS18097D-03-11_S0_L001CNODE_11026_length_3857_cov_4.155181
5188	S3CS18097D-03-11_S0_L001CNODE_17518_length_2941_cov_2.865558
15319	S1CS18097D-03-02_S0_L001CNODE_25396_length_2344_cov_3.139799
nneighs_12815	S3CS18097D-03-11_S0_L001CNODE_33216_length_2005_cov_8.529231
nneighs_12815	S5CS18097D-03-06_S0_L001CNODE_17174_length_2595_cov_7.538189
nneighs_12815	S1CS18097D-03-02_S0_L001CNODE_29140_length_2155_cov_20.097143
nneighs_12815	S4CS18097D-03-12_S0_L001CNODE_15423_length_2980_cov_3.121709
nneighs_3984	S2CS18097D-03-07_S0_L001CNODE_16364_length_2645_cov_3.599614
nneighs_3984	S1CS18097D-03-02_S0_L001CNODE_6515_length_5277_cov_61.793757
nneighs_3984	S4CS18097D-03-12_S0_L001CNODE_21412_length_2430_cov_8.454737
nneighs_2464	S2CS18097D-03-07_S0_L001CNODE_7658_length_4162_cov_5.955198
nneighs_2464	S5CS18097D-03-06_S0_L001CNODE_10807_length_3452_cov_6.175449
nneighs_2464	S1CS18097D-03-02_S0_L001CNODE_3915_length_6838_cov_8.987764
nneighs_19366	S3CS18097D-03-11_S0_L001CNODE_16931_length_3002_cov_11.133695
nneighs_19366	S5CS18097D-03-06_S0_L001CNODE_19390_length_2402_cov_4.736685
nneighs_5131	S5CS18097D-03-06_S0_L001CNODE_9125_length_3828_cov_5.002915
nneighs_5131	S3CS18097D-03-11_S0_L001CNODE_23494_length_2463_cov_3.771595
nneighs_5131	S1CS18097D-03-02_S0_L001CNODE_8652_length_4507_cov_8.043801
nneighs_17896	S5CS18097D-03-06_S0_L001CNODE_7725_length_4239_cov_5.919455
nneighs_17896	S3CS18097D-03-11_S0_L001CNODE_10749_length_3917_cov_4.588814
nneighs_17896	S3CS18097D-03-11_S0_L001CNODE_2752_length_8206_cov_5.390872
nneighs_17896	S5CS18097D-03-06_S0_L001CNODE_7955_length_4166_cov_6.926539
nneighs_17896	S5CS18097D-03-06_S0_L001CNODE_24190_length_2090_cov_6.643735
nneighs_12960	S3CS18097D-03-11_S0_L001CNODE_20309_length_2691_cov_18.794385
nneighs_12960	S5CS18097D-03-06_S0_L001CNODE_6551_length_4668_cov_15.059181
nneighs_12960	S3CS18097D-03-11_S0_L001CNODE_21821_length_2579_cov_14.413233
nneighs_12960	S1CS18097D-03-02_S0_L001CNODE_29740_length_2128_cov_16.691751
17762	S1CS18097D-03-02_S0_L001CNODE_27328_length_2242_cov_11.264746
nneighs_8858	S2CS18097D-03-07_S0_L001CNODE_17823_length_2510_cov_22.615071
nneighs_8858	S5CS18097D-03-06_S0_L001CNODE_19122_length_2424_cov_73.604052
nneighs_8858	S4CS18097D-03-12_S0_L001CNODE_13963_length_3169_cov_14.135517
nneighs_8858	S1CS18097D-03-02_S0_L001CNODE_16973_length_3007_cov_48.371612
nneighs_3981	S2CS18097D-03-07_S0_L001CNODE_21600_length_2231_cov_8.378217
nneighs_3981	S4CS18097D-03-12_S0_L001CNODE_2133_length_9082_cov_7.090174
nneighs_3981	S3CS18097D-03-11_S0_L001CNODE_9050_length_4352_cov_13.849895
nneighs_3981	S4CS18097D-03-12_S0_L001CNODE_13128_length_3297_cov_6.709439
nneighs_3981	S3CS18097D-03-11_S0_L001CNODE_6423_length_5250_cov_13.729740
nneighs_3981	S5CS18097D-03-06_S0_L001CNODE_6424_length_4724_cov_9.837010
nneighs_3981	S5CS18097D-03-06_S0_L001CNODE_19261_length_2412_cov_10.937208
nneighs_3981	S1CS18097D-03-02_S0_L001CNODE_6511_length_5280_cov_9.841531
nneighs_3981	S1CS18097D-03-02_S0_L001CNODE_13542_length_3442_cov_8.244464
nneighs_3981	S2CS18097D-03-07_S0_L001CNODE_2897_length_7061_cov_8.622895
8220	S5CS18097D-03-06_S0_L001CNODE_5202_length_5358_cov_7.491043
8220	S5CS18097D-03-06_S0_L001CNODE_13743_length_2975_cov_7.276370
nneighs_12124	S3CS18097D-03-11_S0_L001CNODE_6360_length_5275_cov_25.501724
nneighs_12124	S1CS18097D-03-02_S0_L001CNODE_26717_length_2273_cov_10.240757
nneighs_12124	S2CS18097D-03-07_S0_L001CNODE_17989_length_2496_cov_17.153216
nneighs_12124	S5CS18097D-03-06_S0_L001CNODE_9887_length_3647_cov_17.577394
nneighs_12124	S4CS18097D-03-12_S0_L001CNODE_17471_length_2759_cov_18.423447
nneighs_14288	S3CS18097D-03-11_S0_L001CNODE_20750_length_2659_cov_4.430492
nneighs_14288	S4CS18097D-03-12_S0_L001CNODE_13699_length_3209_cov_5.207990
nneighs_14288	S3CS18097D-03-11_S0_L001CNODE_27070_length_2267_cov_3.198463
nneighs_14288	S5CS18097D-03-06_S0_L001CNODE_22945_length_2163_cov_2.455408
nneighs_14288	S2CS18097D-03-07_S0_L001CNODE_4878_length_5345_cov_3.325709
12698	S5CS18097D-03-06_S0_L001CNODE_18402_length_2488_cov_3.183724
333	S4CS18097D-03-12_S0_L001CNODE_4170_length_6418_cov_5.423228
8713	S4CS18097D-03-12_S0_L001CNODE_9554_length_4022_cov_5.552559
nneighs_18405	S5CS18097D-03-06_S0_L001CNODE_9214_length_3807_cov_9.764925
nneighs_18405	S3CS18097D-03-11_S0_L001CNODE_7824_length_4702_cov_9.012266
nneighs_18405	S4CS18097D-03-12_S0_L001CNODE_10878_length_3706_cov_6.994522
nneighs_18536	S5CS18097D-03-06_S0_L001CNODE_25647_length_2016_cov_2.892402
nneighs_18536	S3CS18097D-03-11_S0_L001CNODE_9098_length_4335_cov_4.239019
nneighs_11385	S4CS18097D-03-12_S0_L001CNODE_21652_length_2410_cov_23.461571
nneighs_11385	S3CS18097D-03-11_S0_L001CNODE_23929_length_2438_cov_25.528326
nneighs_11385	S2CS18097D-03-07_S0_L001CNODE_20685_length_2292_cov_22.793473
nneighs_11385	S1CS18097D-03-02_S0_L001CNODE_24283_length_2410_cov_51.463694
nneighs_11385	S5CS18097D-03-06_S0_L001CNODE_18975_length_2438_cov_17.817877
nneighs_5530	S4CS18097D-03-12_S0_L001CNODE_8037_length_4454_cov_8.176404
nneighs_5530	S1CS18097D-03-02_S0_L001CNODE_9400_length_4307_cov_5.562559
nneighs_5530	S5CS18097D-03-06_S0_L001CNODE_6132_length_4856_cov_7.254530
nneighs_5530	S2CS18097D-03-07_S0_L001CNODE_2678_length_7314_cov_6.791018
nneighs_5530	S3CS18097D-03-11_S0_L001CNODE_8998_length_4365_cov_10.450812
nneighs_20057	S5CS18097D-03-06_S0_L001CNODE_11575_length_3308_cov_6.353520
nneighs_20057	S3CS18097D-03-11_S0_L001CNODE_23593_length_2458_cov_5.617561
nneighs_11298	S3CS18097D-03-11_S0_L001CNODE_17324_length_2962_cov_3.329549
nneighs_11298	S1CS18097D-03-02_S0_L001CNODE_24008_length_2426_cov_4.240405
21441	S3CS18097D-03-11_S0_L001CNODE_30285_length_2118_cov_5.766844
3498	S3CS18097D-03-11_S0_L001CNODE_14746_length_3263_cov_6.218204
nneighs_17561	S2CS18097D-03-07_S0_L001CNODE_25278_length_2028_cov_6.947288
nneighs_17561	S5CS18097D-03-06_S0_L001CNODE_19147_length_2422_cov_4.244191
1963	S2CS18097D-03-07_S0_L001CNODE_8858_length_3809_cov_5.672083
25076	S1CS18097D-03-02_S0_L001CNODE_32359_length_2020_cov_3.629517
nneighs_18964	S3CS18097D-03-11_S0_L001CNODE_13009_length_3501_cov_3.853163
nneighs_18964	S5CS18097D-03-06_S0_L001CNODE_19304_length_2409_cov_3.011045
nneighs_16311	S4CS18097D-03-12_S0_L001CNODE_12107_length_3465_cov_3.798827
nneighs_16311	S5CS18097D-03-06_S0_L001CNODE_21323_length_2267_cov_4.808770
nneighs_16311	S2CS18097D-03-07_S0_L001CNODE_17453_length_2543_cov_5.351286
nneighs_6265	S4CS18097D-03-12_S0_L001CNODE_17704_length_2734_cov_6.417320
nneighs_6265	S1CS18097D-03-02_S0_L001CNODE_10901_length_3927_cov_6.746384
nneighs_6265	S2CS18097D-03-07_S0_L001CNODE_18519_length_2455_cov_3.072500
nneighs_6265	S3CS18097D-03-11_S0_L001CNODE_13880_length_3378_cov_4.050256
14523	S1CS18097D-03-02_S0_L001CNODE_24713_length_2384_cov_3.611851
nneighs_17795	S3CS18097D-03-11_S0_L001CNODE_1749_length_10253_cov_8.098353
